State,State ANSI,Zip Code,Value
MINNESOTA,27,56174,36
MINNESOTA,27,56175,141
MINNESOTA,27,56176,86
MINNESOTA,27,56178,116
MINNESOTA,27,56180,116
MINNESOTA,27,56181,40
MINNESOTA,27,56183,112
MINNESOTA,27,56185,44
MINNESOTA,27,56186,49
MINNESOTA,27,56187,235
MINNESOTA,27,56201,267
MINNESOTA,27,56207,15
MINNESOTA,27,56208,117
MINNESOTA,27,56209,131
MINNESOTA,27,56210,2
MINNESOTA,27,56211,48
MINNESOTA,27,56212,46
MINNESOTA,27,56214,58
MINNESOTA,27,56215,196
MINNESOTA,27,56216,32
MINNESOTA,27,56218,66
MINNESOTA,27,56219,21
MINNESOTA,27,56220,268
MINNESOTA,27,56221,67
MINNESOTA,27,56222,98
MINNESOTA,27,56223,79
MINNESOTA,27,56224,41
MINNESOTA,27,56225,62
MINNESOTA,27,56226,8
MINNESOTA,27,56227,41
MINNESOTA,27,56228,48
MINNESOTA,27,56229,106
MINNESOTA,27,56230,30
MINNESOTA,27,56231,43
MINNESOTA,27,56232,125
MINNESOTA,27,56235,70
MINNESOTA,27,56236,48
MINNESOTA,27,56237,39
MINNESOTA,27,56239,40
MINNESOTA,27,56240,69
MINNESOTA,27,56241,128
MINNESOTA,27,56243,102
MINNESOTA,27,56244,144
MINNESOTA,27,56245,37
MINNESOTA,27,56248,75
MINNESOTA,27,56249,39
MINNESOTA,27,56251,52
MINNESOTA,27,56252,59
MINNESOTA,27,56253,72
MINNESOTA,27,56255,33
MINNESOTA,27,56256,209
MINNESOTA,27,56257,28
MINNESOTA,27,56258,353
MINNESOTA,27,56260,58
MINNESOTA,27,56262,60
MINNESOTA,27,56263,64
MINNESOTA,27,56264,137
MINNESOTA,27,56265,276
MINNESOTA,27,56266,146
MINNESOTA,27,56267,216
MINNESOTA,27,56270,37
MINNESOTA,27,56271,130
MINNESOTA,27,56273,214
MINNESOTA,27,56274,20
MINNESOTA,27,56276,13
MINNESOTA,27,56277,120
MINNESOTA,27,56278,119
MINNESOTA,27,56279,91
MINNESOTA,27,56280,47
MINNESOTA,27,56281,23
MINNESOTA,27,56282,90
MINNESOTA,27,56283,244
MINNESOTA,27,56284,97
MINNESOTA,27,56285,73
MINNESOTA,27,56287,6
MINNESOTA,27,56288,150
MINNESOTA,27,56289,50
MINNESOTA,27,56291,55
MINNESOTA,27,56292,68
MINNESOTA,27,56293,135
MINNESOTA,27,56294,3
MINNESOTA,27,56295,10
MINNESOTA,27,56296,157
MINNESOTA,27,56297,82
MINNESOTA,27,56301,126
MINNESOTA,27,56302,8
MINNESOTA,27,56303,60
MINNESOTA,27,56304,75
MINNESOTA,27,56307,280
MINNESOTA,27,56308,399
MINNESOTA,27,56309,92
MINNESOTA,27,56310,180
MINNESOTA,27,56311,60
MINNESOTA,27,56312,224
MINNESOTA,27,56314,95
MINNESOTA,27,56315,86
MINNESOTA,27,56316,156
MINNESOTA,27,56318,71
MINNESOTA,27,56319,71
MINNESOTA,27,56320,144
MINNESOTA,27,56321,1
MINNESOTA,27,56323,26
MINNESOTA,27,56324,55
MINNESOTA,27,56325,7
MINNESOTA,27,56326,88
MINNESOTA,27,56327,56
MINNESOTA,27,56328,3
MINNESOTA,27,56329,308
MINNESOTA,27,56330,63
MINNESOTA,27,56331,176
MINNESOTA,27,56332,82
MINNESOTA,27,56333,3
MINNESOTA,27,56334,248
MINNESOTA,27,56335,2
MINNESOTA,27,56336,83
MINNESOTA,27,56338,141
MINNESOTA,27,56339,74
MINNESOTA,27,56340,142
MINNESOTA,27,56341,4
MINNESOTA,27,56342,74
MINNESOTA,27,56343,66
MINNESOTA,27,56344,4
MINNESOTA,27,56345,387
MINNESOTA,27,56347,314
MINNESOTA,27,56349,44
MINNESOTA,27,56350,25
MINNESOTA,27,56352,262
MINNESOTA,27,56353,308
MINNESOTA,27,56354,74
MINNESOTA,27,56355,48
MINNESOTA,27,56356,4
MINNESOTA,27,56357,86
MINNESOTA,27,56358,122
MINNESOTA,27,56359,63
MINNESOTA,27,56360,172
MINNESOTA,27,56361,165
MINNESOTA,27,56362,339
MINNESOTA,27,56364,426
MINNESOTA,27,56367,176
MINNESOTA,27,56368,176
MINNESOTA,27,56369,2
MINNESOTA,27,56371,5
MINNESOTA,27,56373,138
MINNESOTA,27,56374,129
MINNESOTA,27,56375,11
MINNESOTA,27,56376,8
MINNESOTA,27,56377,62
MINNESOTA,27,56378,284
MINNESOTA,27,56379,171
MINNESOTA,27,56381,112
MINNESOTA,27,56382,77
MINNESOTA,27,56384,5
MINNESOTA,27,56385,78
MINNESOTA,27,56386,12
MINNESOTA,27,56387,10
MINNESOTA,27,56389,1
MINNESOTA,27,56401,212
MINNESOTA,27,56425,18
MINNESOTA,27,56431,200
MINNESOTA,27,56433,24
MINNESOTA,27,56434,21
MINNESOTA,27,56435,49
MINNESOTA,27,56437,74
MINNESOTA,27,56438,164
MINNESOTA,27,56440,76
MINNESOTA,27,56441,14
MINNESOTA,27,56442,10
MINNESOTA,27,56443,85
MINNESOTA,27,56444,17
MINNESOTA,27,56446,145
MINNESOTA,27,56447,6
MINNESOTA,27,56448,5
MINNESOTA,27,56449,85
MINNESOTA,27,56450,3
MINNESOTA,27,56452,21
MINNESOTA,27,56453,65
MINNESOTA,27,56455,9
MINNESOTA,27,56458,6
MINNESOTA,27,56461,107
MINNESOTA,27,56464,151
MINNESOTA,27,56465,26
MINNESOTA,27,56466,102
MINNESOTA,27,56467,42
MINNESOTA,27,56468,24
MINNESOTA,27,56469,44
MINNESOTA,27,56470,163
MINNESOTA,27,56472,69
MINNESOTA,27,56473,64
MINNESOTA,27,56474,90
MINNESOTA,27,56475,81
MINNESOTA,27,56477,183
MINNESOTA,27,56479,197
MINNESOTA,27,56481,171
MINNESOTA,27,56482,179
MINNESOTA,27,56484,21
MINNESOTA,27,56501,225
MINNESOTA,27,56502,7
MINNESOTA,27,56510,84
MINNESOTA,27,56511,56
MINNESOTA,27,56514,122
MINNESOTA,27,56515,92
MINNESOTA,27,56516,20
MINNESOTA,27,56517,42
MINNESOTA,27,56518,30
MINNESOTA,27,56519,26
MINNESOTA,27,56520,95
MINNESOTA,27,56521,36
MINNESOTA,27,56522,33
MINNESOTA,27,56523,20
MINNESOTA,27,56524,24
MINNESOTA,27,56525,1
MINNESOTA,27,56527,62
MINNESOTA,27,56528,51
MINNESOTA,27,56529,26
MINNESOTA,27,56531,119
MINNESOTA,27,56533,25
MINNESOTA,27,56534,59
MINNESOTA,27,56535,51
MINNESOTA,27,56536,30
MINNESOTA,27,56537,397
MINNESOTA,27,56538,3
MINNESOTA,27,56540,141
MINNESOTA,27,56541,3
MINNESOTA,27,56542,126
MINNESOTA,27,56543,25
MINNESOTA,27,56544,194
MINNESOTA,27,56545,65
MINNESOTA,27,56546,22
MINNESOTA,27,56547,72
MINNESOTA,27,56548,32
MINNESOTA,27,56549,191
MINNESOTA,27,56550,11
MINNESOTA,27,56551,104
MINNESOTA,27,56552,15
MINNESOTA,27,56553,24
MINNESOTA,27,56554,107
MINNESOTA,27,56556,49
MINNESOTA,27,56557,84
MINNESOTA,27,56560,172
MINNESOTA,27,56561,4
MINNESOTA,27,56562,1
MINNESOTA,27,56565,3
MINNESOTA,27,56566,4
